#Название: Денежные доходы населения, Россия
#Частотность: Ежемесячные, Ежеквартальные, Ежегодные
#Дата последнего (предшествующего) обновления в первоисточнике: 15 июля 2024 г.
#Единицы измерения: %, рублей
#https://data.vavt.ru/ru/analytiс_sets/dataset/86298/chart
#Источник: https://rosstat.gov.ru/compendium/document/50802
#
dataset;date;Денежные доходы населения, Россия: ежемесячные данные|Денежные доходы (в среднем на душу населения)|в соответствии с Методикой расчета баланса денежных доходов и расходов населения, утвержденной постановлением Госкомстата России от 16.07.1996 № 61|рублей
86298;31.01.1999;1178.2
86298;28.02.1999;1320
86298;31.03.1999;1410.2
86298;30.04.1999;1570.3
86298;31.05.1999;1517.4
86298;30.06.1999;1617.7
86298;31.07.1999;1635
86298;31.08.1999;1728.5
86298;30.09.1999;1737.4
86298;31.10.1999;1795.7
86298;30.11.1999;1853.6
86298;31.12.1999;2566.2
86298;31.01.2000;1585.6
86298;29.02.2000;1896.7
86298;31.03.2000;2071.3
86298;30.04.2000;2119.6
86298;31.05.2000;2084
86298;30.06.2000;2296.8
86298;31.07.2000;2270
86298;31.08.2000;2347.6
86298;30.09.2000;2405.4
86298;31.10.2000;2412.5
86298;30.11.2000;2581.6
86298;31.12.2000;3337.2
86298;31.01.2001;2173.5
86298;28.02.2001;2500.7
86298;31.03.2001;2784.9
86298;30.04.2001;2915.9
86298;31.05.2001;2775.2
86298;30.06.2001;3160.1
86298;31.07.2001;3139.7
86298;31.08.2001;3233.4
86298;30.09.2001;3206.5
86298;31.10.2001;3290
86298;30.11.2001;3359
86298;31.12.2001;4299.7
86298;31.01.2002;2908.5
86298;28.02.2002;3250.7
86298;31.03.2002;3500
86298;30.04.2002;3957.2
86298;31.05.2002;3445.7
86298;30.06.2002;3802.7
86298;31.07.2002;4053.9
86298;31.08.2002;4055.5
86298;30.09.2002;3927.4
86298;31.10.2002;4361.9
86298;30.11.2002;4429.7
86298;31.12.2002;5563.8
86298;31.01.2003;3894.1
86298;28.02.2003;4446
86298;31.03.2003;4721.6
86298;30.04.2003;4985.8
86298;31.05.2003;4750.6
86298;30.06.2003;5014.1
86298;31.07.2003;5178.5
86298;31.08.2003;5094.6
86298;30.09.2003;5170.4
86298;31.10.2003;5546
86298;30.11.2003;5591.7
86298;31.12.2003;7476.9
86298;31.01.2004;5278.5
86298;29.02.2004;5493.7
86298;31.03.2004;5806.4
86298;30.04.2004;6168.2
86298;31.05.2004;5496.3
86298;30.06.2004;6228.2
86298;31.07.2004;6438.3
86298;31.08.2004;6269.1
86298;30.09.2004;6328.5
86298;31.10.2004;6753.5
86298;30.11.2004;6999.5
86298;31.12.2004;9380.7
86298;31.01.2005;5525.7
86298;28.02.2005;6705.3
86298;31.03.2005;7472.3
86298;30.04.2005;7885.3
86298;31.05.2005;7391
86298;30.06.2005;7969.4
86298;31.07.2005;8104.3
86298;31.08.2005;7883.4
86298;30.09.2005;8400.9
86298;31.10.2005;8457.3
86298;30.11.2005;8712.6
86298;31.12.2005;12353.7
86298;31.01.2006;6897.1
86298;28.02.2006;8342.4
86298;31.03.2006;9275.2
86298;30.04.2006;9629.6
86298;31.05.2006;9672.3
86298;30.06.2006;10396.4
86298;31.07.2006;10140.1
86298;31.08.2006;10324.5
86298;30.09.2006;10188.3
86298;31.10.2006;10454.9
86298;30.11.2006;10855.6
86298;31.12.2006;15512.5
86298;31.01.2007;8346.2
86298;28.02.2007;10314.9
86298;31.03.2007;11131.5
86298;30.04.2007;11661.7
86298;31.05.2007;11743.6
86298;30.06.2007;12392.2
86298;31.07.2007;12533.7
86298;31.08.2007;12620.4
86298;30.09.2007;12847.3
86298;31.10.2007;13072.7
86298;30.11.2007;14112.4
86298;31.12.2007;19631.6
86298;31.01.2008;10425.8
86298;29.02.2008;12901.6
86298;31.03.2008;13311.5
86298;30.04.2008;14745
86298;31.05.2008;14344.9
86298;30.06.2008;15159.3
86298;31.07.2008;15635.8
86298;31.08.2008;16011.1
86298;30.09.2008;15090.9
86298;31.10.2008;15240.9
86298;30.11.2008;15513
86298;31.12.2008;19959.5
86298;31.01.2009;11254.1
86298;28.02.2009;15077.9
86298;31.03.2009;15863.5
86298;30.04.2009;17028.5
86298;31.05.2009;16583.7
86298;30.06.2009;17291.4
86298;31.07.2009;17187.3
86298;31.08.2009;16236.7
86298;30.09.2009;16767.8
86298;31.10.2009;17716
86298;30.11.2009;17323.4
86298;31.12.2009;24460.5
86298;31.01.2010;13699
86298;28.02.2010;17052.8
86298;31.03.2010;17687.4
86298;30.04.2010;19116.2
86298;31.05.2010;17900.4
86298;30.06.2010;19053.4
86298;31.07.2010;18985.1
86298;31.08.2010;18137.2
86298;30.09.2010;18526.1
86298;31.10.2010;19609.6
86298;30.11.2010;19585.3
86298;31.12.2010;28173.2
86298;31.01.2011;15108.8
86298;28.02.2011;18909.1
86298;31.03.2011;19113.9
86298;30.04.2011;20872
86298;31.05.2011;19101.7
86298;30.06.2011;21278.9
86298;31.07.2011;21207.5
86298;31.08.2011;19953.1
86298;30.09.2011;20376.2
86298;31.10.2011;20727.1
86298;30.11.2011;21309.9
86298;31.12.2011;31568
86298;31.01.2012;16107.3
86298;29.02.2012;20407.4
86298;31.03.2012;20848.2
86298;30.04.2012;22347.7
86298;31.05.2012;21299.4
86298;30.06.2012;24126
86298;31.07.2012;23041.8
86298;31.08.2012;23403.8
86298;30.09.2012;23396.3
86298;31.10.2012;23348.6
86298;30.11.2012;25062.2
86298;31.12.2012;35547.9