62434;31.01.1999;196.9
62434;28.02.1999;203.3
62434;31.03.1999;207.6
62434;30.04.1999;213.1
62434;31.05.1999;216.7
62434;30.06.1999;220.7
62434;31.07.1999;226.5
62434;31.08.1999;221
62434;30.09.1999;162
62434;31.10.1999;157.1
62434;30.11.1999;150.5
62434;31.12.1999;136.5
62434;31.01.2000;128.9
62434;29.02.2000;125.1
62434;31.03.2000;122.5
62434;30.04.2000;120
62434;31.05.2000;119.4
62434;30.06.2000;120.1
62434;31.07.2000;118.9
62434;31.08.2000;118.7
62434;30.09.2000;118.5
62434;31.10.2000;119.4
62434;30.11.2000;119.8
62434;31.12.2000;120.2
62434;31.01.2001;120.7
62434;28.02.2001;122.2
62434;31.03.2001;123.7
62434;30.04.2001;124.8
62434;31.05.2001;124.8
62434;30.06.2001;123.7
62434;31.07.2001;122.1
62434;31.08.2001;120.9
62434;30.09.2001;120
62434;31.10.2001;118.8
62434;30.11.2001;118.6
62434;31.12.2001;118.6
62434;31.01.2002;119
62434;28.02.2002;117.7
62434;31.03.2002;116.8
62434;30.04.2002;116
62434;31.05.2002;115.9
62434;30.06.2002;114.7
62434;31.07.2002;115
62434;31.08.2002;115.1
62434;30.09.2002;114.9
62434;31.10.2002;114.8
62434;30.11.2002;115.1
62434;31.12.2002;115.1
62434;31.01.2003;114.3
62434;28.02.2003;114.8
62434;31.03.2003;114.8
62434;30.04.2003;114.6
62434;31.05.2003;113.6
62434;30.06.2003;113.9
62434;31.07.2003;113.9
62434;31.08.2003;113.3
62434;30.09.2003;113.3
62434;31.10.2003;113.2
62434;30.11.2003;112.5
62434;31.12.2003;112
62434;31.01.2004;111.3
62434;29.02.2004;110.6
62434;31.03.2004;110.3
62434;30.04.2004;110.2
62434;31.05.2004;110.2
62434;30.06.2004;110.1
62434;31.07.2004;110.4
62434;31.08.2004;111.3
62434;30.09.2004;111.4
62434;31.10.2004;111.5
62434;30.11.2004;111.7
62434;31.12.2004;111.7
62434;31.01.2005;112.7
62434;28.02.2005;113
62434;31.03.2005;113.6
62434;30.04.2005;113.8
62434;31.05.2005;113.8
62434;30.06.2005;113.7
62434;31.07.2005;113.2
62434;31.08.2005;112.5
62434;30.09.2005;112.3
62434;31.10.2005;111.7
62434;30.11.2005;111.3
62434;31.12.2005;110.9
62434;31.01.2006;110.7
62434;28.02.2006;111.2
62434;31.03.2006;110.6
62434;30.04.2006;109.8
62434;31.05.2006;109.4
62434;30.06.2006;109
62434;31.07.2006;109.3
62434;31.08.2006;109.6
62434;30.09.2006;109.5
62434;31.10.2006;109.2
62434;30.11.2006;109
62434;31.12.2006;109
62434;31.01.2007;108.2
62434;28.02.2007;107.6
62434;31.03.2007;107.4
62434;30.04.2007;107.6
62434;31.05.2007;107.8
62434;30.06.2007;108.5
62434;31.07.2007;108.7
62434;31.08.2007;108.6
62434;30.09.2007;109.4
62434;31.10.2007;110.8
62434;30.11.2007;111.5
62434;31.12.2007;111.9
62434;31.01.2008;112.6
62434;29.02.2008;112.7
62434;31.03.2008;113.3
62434;30.04.2008;114.3
62434;31.05.2008;115.1
62434;30.06.2008;115.1
62434;31.07.2008;114.7
62434;31.08.2008;115
62434;30.09.2008;115
62434;31.10.2008;114.2
62434;30.11.2008;113.8
62434;31.12.2008;113.3
62434;31.01.2009;113.4
62434;28.02.2009;113.9
62434;31.03.2009;114
62434;30.04.2009;113.2
62434;31.05.2009;112.3
62434;30.06.2009;111.9
62434;31.07.2009;112
62434;31.08.2009;111.6
62434;30.09.2009;110.7
62434;31.10.2009;109.7
62434;30.11.2009;109.1
62434;31.12.2009;108.8
62434;31.01.2010;108
62434;28.02.2010;107.2
62434;31.03.2010;106.5
62434;30.04.2010;106
62434;31.05.2010;106
62434;30.06.2010;105.8
62434;31.07.2010;105.5
62434;31.08.2010;106.1
62434;30.09.2010;107
62434;31.10.2010;107.5
62434;30.11.2010;108.1
62434;31.12.2010;108.8
62434;31.01.2011;109.6
62434;28.02.2011;109.5
62434;31.03.2011;109.5
62434;30.04.2011;109.6
62434;31.05.2011;109.6
62434;30.06.2011;109.4
62434;31.07.2011;109
62434;31.08.2011;108.2
62434;30.09.2011;107.2
62434;31.10.2011;107.2
62434;30.11.2011;106.8
62434;31.12.2011;106.1
62434;31.01.2012;104.2
62434;29.02.2012;103.7
62434;31.03.2012;103.7
62434;30.04.2012;103.6
62434;31.05.2012;103.6
62434;30.06.2012;104.3
62434;31.07.2012;105.6
62434;31.08.2012;105.9
62434;30.09.2012;106.6
62434;31.10.2012;106.5
62434;30.11.2012;106.5
62434;31.12.2012;106.6
62434;31.01.2013;107.1
62434;28.02.2013;107.3
62434;31.03.2013;107
62434;30.04.2013;107.2
62434;31.05.2013;107.4
62434;30.06.2013;106.9
62434;31.07.2013;106.5
62434;31.08.2013;106.5
62434;30.09.2013;106.1
62434;31.10.2013;106.3
62434;30.11.2013;106.5
62434;31.12.2013;106.5
62434;31.01.2014;106.1
62434;28.02.2014;106.2
62434;31.03.2014;106.9
62434;30.04.2014;107.3
62434;31.05.2014;107.6
62434;30.06.2014;107.8
62434;31.07.2014;107.5
62434;31.08.2014;107.6
62434;30.09.2014;108
62434;31.10.2014;108.3
62434;30.11.2014;109.1
62434;31.12.2014;111.4
62434;31.01.2015;115
62434;28.02.2015;116.7
62434;31.03.2015;116.9
62434;30.04.2015;116.4
62434;31.05.2015;115.8
62434;30.06.2015;115.3
62434;31.07.2015;115.6
62434;31.08.2015;115.8
62434;30.09.2015;115.7
62434;31.10.2015;115.6
62434;30.11.2015;115
62434;31.12.2015;112.9
62434;31.01.2016;109.8
62434;29.02.2016;108.1
62434;31.03.2016;107.3
62434;30.04.2016;107.3
62434;31.05.2016;107.3
62434;30.06.2016;107.5
62434;31.07.2016;107.2
62434;31.08.2016;106.9
62434;30.09.2016;106.4
62434;31.10.2016;106.1
62434;30.11.2016;105.8
62434;31.12.2016;105.4
62434;31.01.2017;105
62434;28.02.2017;104.6
62434;31.03.2017;104.3
62434;30.04.2017;104.1
62434;31.05.2017;104.1
62434;30.06.2017;104.4
62434;31.07.2017;103.9
62434;31.08.2017;103.3
62434;30.09.2017;103
62434;31.10.2017;102.7
62434;30.11.2017;102.5
62434;31.12.2017;102.5
62434;31.01.2018;102.2
62434;28.02.2018;102.2
62434;31.03.2018;102.4
62434;30.04.2018;102.4
62434;31.05.2018;102.4
62434;30.06.2018;102.3
62434;31.07.2018;102.5
62434;31.08.2018;103.1
62434;30.09.2018;103.4
62434;31.10.2018;103.5
62434;30.11.2018;103.8
62434;31.12.2018;104.3
62434;31.01.2019;105
62434;28.02.2019;105.2
62434;31.03.2019;105.3
62434;30.04.2019;105.2
62434;31.05.2019;105.1
62434;30.06.2019;104.7
62434;31.07.2019;104.6
62434;31.08.2019;104.3
62434;30.09.2019;104
62434;31.10.2019;103.8
62434;30.11.2019;103.5
62434;31.12.2019;103
62434;31.01.2020;102.4
62434;29.02.2020;102.3
62434;31.03.2020;102.5
62434;30.04.2020;103.1
62434;31.05.2020;103
62434;30.06.2020;103.2
62434;31.07.2020;103.4
62434;31.08.2020;103.6
62434;30.09.2020;103.7
62434;31.10.2020;104
62434;30.11.2020;104.4
62434;31.12.2020;104.9
62434;31.01.2021;105.2
62434;28.02.2021;105.7
62434;31.03.2021;105.8
62434;30.04.2021;105.5
62434;31.05.2021;106
62434;30.06.2021;106.5
62434;31.07.2021;106.5
62434;31.08.2021;106.7
62434;30.09.2021;107.4
62434;31.10.2021;108.1
62434;30.11.2021;108.4
62434;31.12.2021;108.4
62434;31.01.2022;108.7
62434;28.02.2022;109.2
62434;31.03.2022;116.7
62434;30.04.2022;117.8
62434;31.05.2022;117.1
62434;30.06.2022;115.9
62434;31.07.2022;115.1
62434;31.08.2022;114.3
62434;30.09.2022;113.7
62434;31.10.2022;112.6
62434;30.11.2022;112
62434;31.12.2022;111.9
62434;31.01.2023;111.8
62434;28.02.2023;111
62434;31.03.2023;103.5
62434;30.04.2023;102.3
62434;31.05.2023;102.5
62434;30.06.2023;103.3
62434;31.07.2023;104.3
62434;31.08.2023;105.2
62434;30.09.2023;106
62434;31.10.2023;106.7
62434;30.11.2023;107.5
62434;31.12.2023;107.4
62434;31.01.2024;107.4
62434;29.02.2024;107.7
62434;31.03.2024;107.7
62434;30.04.2024;107.8
