#Название: Безработица, %, Россия
#Частотность: Ежемесячные
#Дата последнего (предшествующего) обновления в первоисточнике: 21 июля 2024 г.
#Единицы измерения: %
#https://data.vavt.ru/ru/analytiс_sets/dataset/89598/chart
#Источник: https://www.econdb.com
#
dataset;date;Безработица, %, Россия
89598;31.01.2015;5.489
89598;28.02.2015;5.816
89598;31.03.2015;5.913
89598;30.04.2015;5.812
89598;31.05.2015;5.573
89598;30.06.2015;5.351
89598;31.07.2015;5.273
89598;31.08.2015;5.254
89598;30.09.2015;5.239
89598;31.10.2015;5.541
89598;30.11.2015;5.791
89598;31.12.2015;5.768
89598;31.01.2016;5.844
89598;29.02.2016;5.832
89598;31.03.2016;5.998
89598;30.04.2016;5.924
89598;31.05.2016;5.622
89598;30.06.2016;5.435
89598;31.07.2016;5.338
89598;31.08.2016;5.209
89598;30.09.2016;5.209
89598;31.10.2016;5.353
89598;30.11.2016;5.363
89598;31.12.2016;5.338
89598;31.01.2017;5.4
89598;28.02.2017;5.5
89598;31.03.2017;5.6
89598;30.04.2017;5.5
89598;31.05.2017;5.3
89598;30.06.2017;5.2
89598;31.07.2017;5.1
89598;31.08.2017;5
89598;30.09.2017;5
89598;31.10.2017;5
89598;30.11.2017;5
89598;31.12.2017;5.1
89598;31.01.2018;5.1
89598;28.02.2018;5.1
89598;31.03.2018;5.1
89598;30.04.2018;5
89598;31.05.2018;4.9
89598;30.06.2018;4.8
89598;31.07.2018;4.7
89598;31.08.2018;4.7
89598;30.09.2018;4.6
89598;31.10.2018;4.6
89598;30.11.2018;4.7
89598;31.12.2018;4.8
89598;31.01.2019;4.9
89598;28.02.2019;4.9
89598;31.03.2019;4.8
89598;30.04.2019;4.8
89598;31.05.2019;4.7
89598;30.06.2019;4.6
89598;31.07.2019;4.5
89598;31.08.2019;4.4
89598;30.09.2019;4.4
89598;31.10.2019;4.5
89598;30.11.2019;4.6
89598;31.12.2019;4.6
89598;31.01.2020;4.6
89598;29.02.2020;4.6
89598;31.03.2020;4.6
89598;30.04.2020;5
89598;31.05.2020;5.5
89598;30.06.2020;6
89598;31.07.2020;6.2
89598;31.08.2020;6.3
89598;30.09.2020;6.4
89598;31.10.2020;6.3
89598;30.11.2020;6.3
89598;31.12.2020;6.1
89598;31.01.2021;5.9
89598;28.02.2021;5.8
89598;31.03.2021;5.6
89598;30.04.2021;5.4
89598;31.05.2021;5.2
89598;30.06.2021;4.9
89598;31.07.2021;4.7
89598;31.08.2021;4.6
89598;30.09.2021;4.4
89598;31.10.2021;4.4
89598;30.11.2021;4.3
89598;31.12.2021;4.3
89598;31.01.2022;4.3
89598;28.02.2022;4.3
89598;31.03.2022;4.2
89598;30.04.2022;4.1
89598;31.05.2022;4
89598;30.06.2022;4
89598;31.07.2022;3.9
89598;31.08.2022;3.9
89598;30.09.2022;3.9
89598;31.10.2022;3.9
89598;30.11.2022;3.8
89598;31.12.2022;3.8
89598;31.01.2023;3.7
89598;28.02.2023;3.6
89598;31.03.2023;3.5
89598;30.04.2023;3.4
89598;31.05.2023;3.3
89598;30.06.2023;3.2
89598;31.07.2023;3.1
89598;31.08.2023;3
89598;30.09.2023;3
89598;31.10.2023;3
89598;30.11.2023;3
89598;31.12.2023;2.9
89598;31.01.2024;2.9
89598;29.02.2024;2.9
89598;31.03.2024;2.8
89598;30.04.2024;2.7
89598;31.05.2024;2.6