dataset;date;Занятость населения, Россия: ежемесячные данные|Численность официально зарегистрированных безработных в органах службы занятости населения, которые получают пособие по безработице, на конец месяца|тыс. человек
86326;31.01.1999;1760
86326;28.02.1999;1774
86326;31.03.1999;1746
86326;30.04.1999;1694
86326;31.05.1999;1571
86326;30.06.1999;1432
86326;31.07.1999;1335
86326;31.08.1999;1250
86326;30.09.1999;1165
86326;31.10.1999;1111
86326;30.11.1999;1088
86326;31.12.1999;1090
86326;31.01.2000;1066
86326;29.02.2000;1058
86326;31.03.2000;1033
86326;30.04.2000;979
86326;31.05.2000;904
86326;30.06.2000;849
86326;31.07.2000;836
86326;31.08.2000;841
86326;30.09.2000;828
86326;31.10.2000;834
86326;30.11.2000;871
86326;31.12.2000;909
86326;31.01.2001;923
86326;28.02.2001;964
86326;31.03.2001;974
86326;30.04.2001;961
86326;31.05.2001;913
86326;30.06.2001;872
86326;31.07.2001;876
86326;31.08.2001;883
86326;30.09.2001;871
86326;31.10.2001;888
86326;30.11.2001;945
86326;31.12.2001;1007
86326;31.01.2002;1057
86326;28.02.2002;1127
86326;31.03.2002;1147
86326;30.04.2002;1147
86326;31.05.2002;1094
86326;30.06.2002;1054
86326;31.07.2002;1051
86326;31.08.2002;1056
86326;30.09.2002;1035
86326;31.10.2002;1045
86326;30.11.2002;1100
86326;31.12.2002;1169
86326;31.01.2003;1340
86326;28.02.2003;1404
86326;31.03.2003;1408
86326;30.04.2003;1401
86326;31.05.2003;1347
86326;30.06.2003;1281
86326;31.07.2003;1261
86326;31.08.2003;1247
86326;30.09.2003;1210
86326;31.10.2003;1202
86326;30.11.2003;1239
86326;31.12.2003;1304
86326;31.01.2004;1287
86326;29.02.2004;1316
86326;31.03.2004;1310
86326;30.04.2004;1299
86326;31.05.2004;1246
86326;30.06.2004;1225
86326;31.07.2004;1265
86326;31.08.2004;1300
86326;30.09.2004;1342
86326;31.10.2004;1426
86326;30.11.2004;1548
86326;31.12.2004;1624
86326;31.01.2005;1618
86326;28.02.2005;1682
86326;31.03.2005;1679
86326;30.04.2005;1638
86326;31.05.2005;1542
86326;30.06.2005;1507
86326;31.07.2005;1506
86326;31.08.2005;1480
86326;30.09.2005;1443
86326;31.10.2005;1427
86326;30.11.2005;1485
86326;31.12.2005;1570
86326;31.01.2006;1553
86326;28.02.2006;1621
86326;31.03.2006;1635
86326;30.04.2006;1597
86326;31.05.2006;1515
86326;30.06.2006;1482
86326;31.07.2006;1484
86326;31.08.2006;1470
86326;30.09.2006;1422
86326;31.10.2006;1407
86326;30.11.2006;1456
86326;31.12.2006;1522
86326;31.01.2007;1485
86326;28.02.2007;1502
86326;31.03.2007;1455
86326;30.04.2007;1377
86326;31.05.2007;1305
86326;30.06.2007;1246
86326;31.07.2007;1216
86326;31.08.2007;1190
86326;30.09.2007;1153
86326;31.10.2007;1158
86326;30.11.2007;1234
86326;31.12.2007;1305
86326;31.01.2008;1269
86326;29.02.2008;1307
86326;31.03.2008;1263
86326;30.04.2008;1193
86326;31.05.2008;1101
86326;30.06.2008;1046
86326;31.07.2008;1025
86326;31.08.2008;1003
86326;30.09.2008;964
86326;31.10.2008;971
86326;30.11.2008;1036
86326;31.12.2008;1253
86326;31.01.2009;1387
86326;28.02.2009;1705
86326;31.03.2009;1859
86326;30.04.2009;1934
86326;31.05.2009;1884
86326;30.06.2009;1815
86326;31.07.2009;1820
86326;31.08.2009;1783
86326;30.09.2009;1722
86326;31.10.2009;1717
86326;30.11.2009;1765
86326;31.12.2009;1872
86326;31.01.2010;1909
86326;28.02.2010;1992
86326;31.03.2010;1941
86326;30.04.2010;1861
86326;31.05.2010;1723
86326;30.06.2010;1594
86326;31.07.2010;1525
86326;31.08.2010;1448
86326;30.09.2010;1343
86326;31.10.2010;1276
86326;30.11.2010;1284
86326;31.12.2010;1359
86326;31.01.2011;1356
86326;28.02.2011;1409
86326;31.03.2011;1407
86326;30.04.2011;1354
86326;31.05.2011;1260
86326;30.06.2011;1181
86326;31.07.2011;1145
86326;31.08.2011;1086
86326;30.09.2011;1026
86326;31.10.2011;987
86326;30.11.2011;1000
86326;31.12.2011;1069
86326;31.01.2012;1079
86326;29.02.2012;1151
86326;31.03.2012;1107
86326;30.04.2012;1047
86326;31.05.2012;981
86326;30.06.2012;936
86326;31.07.2012;902
86326;31.08.2012;871
86326;30.09.2012;823
86326;31.10.2012;791
86326;30.11.2012;825
86326;31.12.2012;876
86326;31.01.2013;881
86326;28.02.2013;917
86326;31.03.2013;912
86326;30.04.2013;887
86326;31.05.2013;837
86326;30.06.2013;808
86326;31.07.2013;780
86326;31.08.2013;752
86326;30.09.2013;708
86326;31.10.2013;686
86326;30.11.2013;719
86326;31.12.2013;767
86326;31.01.2014;770
86326;28.02.2014;772
86326;31.03.2014;762
86326;30.04.2014;746
86326;31.05.2014;721
86326;30.06.2014;692
86326;31.07.2014;687
86326;31.08.2014;667
86326;30.09.2014;626
86326;31.10.2014;635
86326;30.11.2014;663
86326;31.12.2014;724
86326;31.01.2015;749
86326;28.02.2015;807
86326;31.03.2015;820
86326;30.04.2015;826
86326;31.05.2015;811
86326;30.06.2015;788
86326;31.07.2015;798
86326;31.08.2015;779
86326;30.09.2015;742
86326;31.10.2015;741
86326;30.11.2015;781
86326;31.12.2015;848
86326;31.01.2016;855
86326;29.02.2016;899
86326;31.03.2016;893
86326;30.04.2016;874
86326;31.05.2016;830
86326;30.06.2016;799
86326;31.07.2016;778
86326;31.08.2016;744
86326;30.09.2016;700
86326;31.10.2016;681
86326;30.11.2016;703
86326;31.12.2016;756
86326;31.01.2017;753
86326;28.02.2017;772
86326;31.03.2017;764
86326;30.04.2017;724
86326;31.05.2017;694
86326;30.06.2017;673
86326;31.07.2017;656
86326;31.08.2017;631
86326;30.09.2017;590
86326;31.10.2017;575
86326;30.11.2017;609
86326;31.12.2017;660
86326;31.01.2018;655
86326;28.02.2018;670
86326;31.03.2018;661
86326;30.04.2018;624
86326;31.05.2018;593
86326;30.06.2018;574
86326;31.07.2018;563
86326;31.08.2018;555
86326;30.09.2018;525
86326;31.10.2018;515
86326;30.11.2018;550
86326;31.12.2018;592
86326;31.01.2019;627
86326;28.02.2019;691
86326;31.03.2019;717
86326;30.04.2019;677
86326;31.05.2019;626
86326;30.06.2019;597
86326;31.07.2019;577
86326;31.08.2019;562
86326;30.09.2019;521
86326;31.10.2019;504
86326;30.11.2019;528
86326;31.12.2019;558
86326;31.01.2020;553
86326;29.02.2020;574
86326;31.03.2020;580
86326;30.04.2020;1145
86326;31.05.2020;1910
86326;30.06.2020;2559
86326;31.07.2020;2993
86326;31.08.2020;3402
86326;30.09.2020;3259
86326;31.10.2020;1713
86326;30.11.2020;1428
86326;31.12.2020;1293
86326;31.01.2021;1139
86326;28.02.2021;1034
86326;31.03.2021;914
86326;30.04.2021;863
86326;31.05.2021;794
86326;30.06.2021;736
86326;31.07.2021;701
86326;31.08.2021;680
86326;30.09.2021;610
86326;31.10.2021;572
86326;30.11.2021;544
86326;31.12.2021;568
86326;31.01.2022;494
86326;28.02.2022;466
86326;31.03.2022;459
86326;30.04.2022;480
86326;31.05.2022;494
86326;30.06.2022;490
86326;31.07.2022;489
86326;31.08.2022;484
86326;30.09.2022;440
86326;31.10.2022;411
86326;30.11.2022;399
86326;31.12.2022;413
86326;31.01.2023;402
86326;28.02.2023;403
86326;31.03.2023;402
86326;30.04.2023;380
86326;31.05.2023;380
86326;30.06.2023;369
86326;31.07.2023;361
86326;31.08.2023;353
86326;30.09.2023;326
86326;31.10.2023;304
86326;30.11.2023;313
86326;31.12.2023;320
86326;31.01.2024;306
86326;29.02.2024;310
86326;31.03.2024;309
86326;30.04.2024;286
86326;31.05.2024;297