dataset;date;Заработная плата, Россия: ежемесячные данные|Реальная начисленная заработная плата работников организаций|в % к соответствующему периоду предыдущего года
86309;31.01.1999;58.6
86309;28.02.1999;59
86309;31.03.1999;62.8
86309;30.04.1999;64
86309;31.05.1999;65.1
86309;30.06.1999;66
86309;31.07.1999;65
86309;31.08.1999;69.3
86309;30.09.1999;93.9
86309;31.10.1999;97.8
86309;30.11.1999;102.5
86309;31.12.1999;113.6
86309;31.01.2000;126.1
86309;29.02.2000;126.4
86309;31.03.2000;123.5
86309;30.04.2000;123.3
86309;31.05.2000;122.3
86309;30.06.2000;121.4
86309;31.07.2000;123.1
86309;31.08.2000;123.3
86309;30.09.2000;122
86309;31.10.2000;121.9
86309;30.11.2000;119.4
86309;31.12.2000;113.4
86309;31.01.2001;123.7
86309;28.02.2001;118.2
86309;31.03.2001;118.9
86309;30.04.2001;115.7
86309;31.05.2001;116.8
86309;30.06.2001;116.7
86309;31.07.2001;120.4
86309;31.08.2001;122.8
86309;30.09.2001;120.8
86309;31.10.2001;122.6
86309;30.11.2001;120.8
86309;31.12.2001;127.2
86309;31.01.2002;115.8
86309;28.02.2002;119.5
86309;31.03.2002;116.6
86309;30.04.2002;121.3
86309;31.05.2002;118.3
86309;30.06.2002;118.5
86309;31.07.2002;119
86309;31.08.2002;116.2
86309;30.09.2002;115.7
86309;31.10.2002;115.3
86309;30.11.2002;114.3
86309;31.12.2002;110.2
86309;31.01.2003;110.2
86309;28.02.2003;110.7
86309;31.03.2003;108.3
86309;30.04.2003;108.4
86309;31.05.2003;110
86309;30.06.2003;109.5
86309;31.07.2003;107.8
86309;31.08.2003;108.1
86309;30.09.2003;109.2
86309;31.10.2003;112.1
86309;30.11.2003;114.1
86309;31.12.2003;114.7
86309;31.01.2004;112.1
86309;29.02.2004;116.7
86309;31.03.2004;115.7
86309;30.04.2004;113.9
86309;31.05.2004;112.8
86309;30.06.2004;113.8
86309;31.07.2004;111.7
86309;31.08.2004;111.6
86309;30.09.2004;110.9
86309;31.10.2004;104.6
86309;30.11.2004;104.3
86309;31.12.2004;106.3
86309;31.01.2005;108.9
86309;28.02.2005;106.7
86309;31.03.2005;109.7
86309;30.04.2005;107.8
86309;31.05.2005;107.7
86309;30.06.2005;107.6
86309;31.07.2005;108.3
86309;31.08.2005;110.1
86309;30.09.2005;112.3
86309;31.10.2005;111.8
86309;30.11.2005;113.1
86309;31.12.2005;114.9
86309;31.01.2006;110.1
86309;28.02.2006;110.7
86309;31.03.2006;110
86309;30.04.2006;111.1
86309;31.05.2006;115
86309;30.06.2006;116.7
86309;31.07.2006;115
86309;31.08.2006;113.9
86309;30.09.2006;114.2
86309;31.10.2006;115.2
86309;30.11.2006;115.1
86309;31.12.2006;114.3
86309;31.01.2007;117.7
86309;28.02.2007;118.8
86309;31.03.2007;118.2
86309;30.04.2007;118.8
86309;31.05.2007;116.4
86309;30.06.2007;114.9
86309;31.07.2007;115.3
86309;31.08.2007;113.2
86309;30.09.2007;113.3
86309;31.10.2007;114.9
86309;30.11.2007;116.8
86309;31.12.2007;116.4
86309;31.01.2008;113.3
86309;29.02.2008;114.1
86309;31.03.2008;112.8
86309;30.04.2008;114.6
86309;31.05.2008;112
86309;30.06.2008;111.1
86309;31.07.2008;113.6
86309;31.08.2008;112.1
86309;30.09.2008;111.4
86309;31.10.2008;109.7
86309;30.11.2008;104.9
86309;31.12.2008;101.8
86309;31.01.2009;101.9
86309;28.02.2009;97.6
86309;31.03.2009;98.2
86309;30.04.2009;95.7
86309;31.05.2009;95.7
86309;30.06.2009;96.7
86309;31.07.2009;94.6
86309;31.08.2009;94.8
86309;30.09.2009;95.1
86309;31.10.2009;96.5
86309;30.11.2009;99.5
86309;31.12.2009;101.3
86309;31.01.2010;101.2
86309;28.02.2010;102.5
86309;31.03.2010;103
86309;30.04.2010;105.9
86309;31.05.2010;105.8
86309;30.06.2010;106.7
86309;31.07.2010;106.6
86309;31.08.2010;105.6
86309;30.09.2010;103.2
86309;31.10.2010;103
86309;30.11.2010;102.6
86309;31.12.2010;106.3
86309;31.01.2011;101.3
86309;28.02.2011;100.7
86309;31.03.2011;102.4
86309;30.04.2011;102.4
86309;31.05.2011;103.5
86309;30.06.2011;102.4
86309;31.07.2011;102.4
86309;31.08.2011;103.9
86309;30.09.2011;105.3
86309;31.10.2011;106.2
86309;30.11.2011;107
86309;31.12.2011;111.4
86309;31.01.2012;110.5
86309;29.02.2012;112.1
86309;31.03.2012;109
86309;30.04.2012;111.1
86309;31.05.2012;112.4
86309;30.06.2012;110.2
86309;31.07.2012;108.1
86309;31.08.2012;106
86309;30.09.2012;104.7
86309;31.10.2012;107.1
86309;30.11.2012;106.7
86309;31.12.2012;105
86309;31.01.2013;105.4
86309;28.02.2013;103.3
86309;31.03.2013;105.1
86309;30.04.2013;108.5
86309;31.05.2013;104.7
86309;30.06.2013;105.3
86309;31.07.2013;106.4
86309;31.08.2013;106.8
86309;30.09.2013;106.3
86309;31.10.2013;105.4
86309;30.11.2013;104.1
86309;31.12.2013;102.7
86309;31.01.2014;105.2
86309;28.02.2014;104.6
86309;31.03.2014;103.8
86309;30.04.2014;103.2
86309;31.05.2014;102.1
86309;30.06.2014;102.1
86309;31.07.2014;101.4
86309;31.08.2014;98.8
86309;30.09.2014;101.5
86309;31.10.2014;100.6
86309;30.11.2014;98.8
86309;31.12.2014;96
86309;31.01.2015;91.6
86309;28.02.2015;92.6
86309;31.03.2015;89.4
86309;30.04.2015;90.4
86309;31.05.2015;92.6
86309;30.06.2015;91.4
86309;31.07.2015;90.8
86309;31.08.2015;91
86309;30.09.2015;89.6
86309;31.10.2015;89.5
86309;30.11.2015;89.6
86309;31.12.2015;91.6
86309;31.01.2016;96.4
86309;29.02.2016;100.6
86309;31.03.2016;101.5
86309;30.04.2016;98.9
86309;31.05.2016;101
86309;30.06.2016;101.1
86309;31.07.2016;98.7
86309;31.08.2016;102.7
86309;30.09.2016;101.9
86309;31.10.2016;100.4
86309;30.11.2016;102.1
86309;31.12.2016;102.8
86309;31.01.2017;101
86309;28.02.2017;100.8
86309;31.03.2017;103.1
86309;30.04.2017;103.8
86309;31.05.2017;102.7
86309;30.06.2017;103.8
86309;31.07.2017;103
86309;31.08.2017;102.3
86309;30.09.2017;104.3
86309;31.10.2017;105.4
86309;30.11.2017;105.8
86309;31.12.2017;106.2
86309;31.01.2018;111
86309;28.02.2018;110.5
86309;31.03.2018;108.7
86309;30.04.2018;107.6
86309;31.05.2018;107.6
86309;30.06.2018;107.2
86309;31.07.2018;107.5
86309;31.08.2018;106.8
86309;30.09.2018;104.9
86309;31.10.2018;105.2
86309;30.11.2018;104.2
86309;31.12.2018;102.9
86309;31.01.2019;101.1
86309;28.02.2019;100
86309;31.03.2019;102.3
86309;30.04.2019;103.1
86309;31.05.2019;101.6
86309;30.06.2019;102.9
86309;31.07.2019;103
86309;31.08.2019;102.4
86309;30.09.2019;103.1
86309;31.10.2019;103.8
86309;30.11.2019;102.7
86309;31.12.2019;106.9
86309;31.01.2020;106.5
86309;29.02.2020;105.7
86309;31.03.2020;105.9
86309;30.04.2020;98
86309;31.05.2020;101
86309;30.06.2020;100.6
86309;31.07.2020;102.9
86309;31.08.2020;100.1
86309;30.09.2020;102.2
86309;31.10.2020;100.5
86309;30.11.2020;100.2
86309;31.12.2020;104.6
86309;31.01.2021;100.1
86309;28.02.2021;102
86309;31.03.2021;101.8
86309;30.04.2021;107.8
86309;31.05.2021;103.3
86309;30.06.2021;104.9
86309;31.07.2021;102.2
86309;31.08.2021;101.5
86309;30.09.2021;102
86309;31.10.2021;100.6
86309;30.11.2021;103.4
86309;31.12.2021;103.6
86309;31.01.2022;101.9
86309;28.02.2022;102.6
86309;31.03.2022;103.6
86309;30.04.2022;92.8
86309;31.05.2022;93.9
86309;30.06.2022;96.8
86309;31.07.2022;96.8
86309;31.08.2022;98.8
86309;30.09.2022;98.6
86309;31.10.2022;100.4
86309;30.11.2022;100.3
86309;31.12.2022;100.6
86309;31.01.2023;100.6
86309;28.02.2023;102
86309;31.03.2023;102.7
86309;30.04.2023;110.4
86309;31.05.2023;113.3
86309;30.06.2023;110.5
86309;31.07.2023;109.2
86309;31.08.2023;109.5
86309;30.09.2023;107.2
86309;31.10.2023;109.9
86309;30.11.2023;107.2
86309;31.12.2023;108.5
86309;31.01.2024;108.5
86309;29.02.2024;110.8
86309;31.03.2024;112.9
86309;30.04.2024;108.5