dataset;date;Индекс фондовой биржи, индекс, Россия
69789;30.09.1997;5.922
69789;31.10.1997;6.207
69789;30.11.1997;4.491
69789;31.12.1997;4.591
69789;31.01.1998;4.194
69789;28.02.1998;4.19
69789;31.03.1998;4.66
69789;30.04.1998;4.472
69789;31.05.1998;3.579
69789;30.06.1998;2.555
69789;31.07.1998;2.3083
69789;31.08.1998;1.5111
69789;30.09.1998;1.6354
69789;31.10.1998;1.5399
69789;30.11.1998;2.4485
69789;31.12.1998;2.755
69789;31.01.1999;2.69
69789;28.02.1999;3.264
69789;31.03.1999;4.715
69789;30.04.1999;5.166
69789;31.05.1999;6.338
69789;30.06.1999;7.269
69789;31.07.1999;8.072
69789;31.08.1999;6.457
69789;30.09.1999;5.834
69789;31.10.1999;5.852
69789;30.11.1999;7.15
69789;31.12.1999;7.909
69789;31.01.2000;11.683
69789;29.02.2000;11.943
69789;31.03.2000;14.148
69789;30.04.2000;14.273
69789;31.05.2000;13.757
69789;30.06.2000;12.792
69789;31.07.2000;11.578
69789;31.08.2000;13.6
69789;30.09.2000;12.818
69789;31.10.2000;11.851
69789;30.11.2000;10.52
69789;31.12.2000;8.678
69789;31.01.2001;9.59
69789;28.02.2001;9.904
69789;31.03.2001;9.909
69789;30.04.2001;10.016
69789;31.05.2001;11.524
69789;30.06.2001;13.039
69789;31.07.2001;12.316
69789;31.08.2001;11.38
69789;30.09.2001;10.918
69789;31.10.2001;10.258
69789;30.11.2001;12.237
69789;31.12.2001;13.302
69789;31.01.2002;15.415
69789;28.02.2002;15.545
69789;31.03.2002;16.966
69789;30.04.2002;19.076
69789;31.05.2002;20.225
69789;30.06.2002;18.983
69789;31.07.2002;18.103
69789;31.08.2002;17.338
69789;30.09.2002;17.223
69789;31.10.2002;18.048
69789;30.11.2002;18.474
69789;31.12.2002;18.533
69789;31.01.2003;18.664
69789;28.02.2003;19.434
69789;31.03.2003;20.298
69789;30.04.2003;20.802
69789;31.05.2003;23.519
69789;30.06.2003;26.01
69789;31.07.2003;25.73
69789;31.08.2003;27.06
69789;30.09.2003;29.72
69789;31.10.2003;31.99
69789;30.11.2003;28.26
69789;31.12.2003;29.77
69789;31.01.2004;32.25
69789;29.02.2004;33.46
69789;31.03.2004;36.14
69789;30.04.2004;37.78
69789;31.05.2004;33.19
69789;30.06.2004;31.76
69789;31.07.2004;30.91
69789;31.08.2004;30.47
69789;30.09.2004;34.31
69789;31.10.2004;38.28
69789;30.11.2004;36.59
69789;31.12.2004;31.54
69789;31.01.2005;32.59
69789;28.02.2005;35.47
69789;31.03.2005;35.69
69789;30.04.2005;36.07
69789;31.05.2005;35.1
69789;30.06.2005;36.72
69789;31.07.2005;40.45
69789;31.08.2005;43.74
69789;30.09.2005;48.8
69789;31.10.2005;49.96
69789;30.11.2005;53.76
69789;31.12.2005;59.34
69789;31.01.2006;65.9
69789;28.02.2006;75.1
69789;31.03.2006;76.11
69789;30.04.2006;84.05
69789;31.05.2006;83.31
69789;30.06.2006;73.26
69789;31.07.2006;79.87
69789;31.08.2006;85.86
69789;30.09.2006;81.72
69789;31.10.2006;84.01
69789;30.11.2006;88.95
69789;31.12.2006;95.94
69789;31.01.2007;97.83
69789;28.02.2007;100.84
69789;31.03.2007;96.67
69789;30.04.2007;102.7
69789;31.05.2007;96.78
69789;30.06.2007;97.5
69789;31.07.2007;103.93
69789;31.08.2007;98.53
69789;30.09.2007;100.19
69789;31.10.2007;107.78
69789;30.11.2007;109.69
69789;31.12.2007;113.25
69789;31.01.2008;106.13
69789;29.02.2008;99.15
69789;31.03.2008;96.41
69789;30.04.2008;98.89
69789;31.05.2008;109.44
69789;30.06.2008;108.27
69789;31.07.2008;95.75
69789;31.08.2008;82.94
69789;30.09.2008;66.37
69789;31.10.2008;41.11
69789;30.11.2008;37.78
69789;31.12.2008;36.44
69789;31.01.2009;36.22
69789;28.02.2009;39.3
69789;31.03.2009;44.73
69789;30.04.2009;52.88
69789;31.05.2009;60.92
69789;30.06.2009;63.15
69789;31.07.2009;57.46
69789;31.08.2009;64.51
69789;30.09.2009;69.28
69789;31.10.2009;77.18
69789;30.11.2009;77.39
69789;31.12.2009;79.74
69789;31.01.2010;84.04
69789;28.02.2010;80.32
69789;31.03.2010;83.75
69789;30.04.2010;87.8
69789;31.05.2010;78.76
69789;30.06.2010;80
69789;31.07.2010;80.06
69789;31.08.2010;82.08
69789;30.09.2010;84.51
69789;31.10.2010;88.66
69789;30.11.2010;92.21
69789;31.12.2010;98.84
69789;31.01.2011;102.55
69789;28.02.2011;102.41
69789;31.03.2011;104.72
69789;30.04.2011;106.65
69789;31.05.2011;97.5
69789;30.06.2011;98.21
69789;31.07.2011;101.68
69789;31.08.2011;89.9
69789;30.09.2011;87.25
69789;31.10.2011;83.61
69789;30.11.2011;87.07
69789;31.12.2011;83.81
69789;31.01.2012;87.57
69789;29.02.2012;92.72
69789;31.03.2012;93.44
69789;30.04.2012;88.54
69789;31.05.2012;79.85
69789;30.06.2012;79.87
69789;31.07.2012;83.79
69789;31.08.2012;85.58
69789;30.09.2012;87.69
69789;31.10.2012;86.6
69789;30.11.2012;83.4
69789;31.12.2012;86.76
69789;31.01.2013;90.16
69789;28.02.2013;89.92
69789;31.03.2013;87.1
69789;30.04.2013;82.16
69789;31.05.2013;83.12
69789;30.06.2013;78.13
69789;31.07.2013;82.05
69789;31.08.2013;82.15
69789;30.09.2013;86
69789;31.10.2013;89.37
69789;30.11.2013;88.83
69789;31.12.2013;87.67
69789;31.01.2014;87.93
69789;28.02.2014;87.61
69789;31.03.2014;78.22
69789;30.04.2014;79.46
69789;31.05.2014;82.52
69789;30.06.2014;88.26
69789;31.07.2014;86.02
69789;31.08.2014;83.37
69789;30.09.2014;85.6
69789;31.10.2014;82.84
69789;30.11.2014;89.9
69789;31.12.2014;87.09
69789;31.01.2015;92.74
69789;28.02.2015;104.22
69789;31.03.2015;98.55
69789;30.04.2015;99.6
69789;31.05.2015;99.54
69789;30.06.2015;97.99
69789;31.07.2015;96.65
69789;31.08.2015;100.21
69789;30.09.2015;100.25
69789;31.10.2015;101.03
69789;30.11.2015;105.66
69789;31.12.2015;103.57
69789;31.01.2016;101.39
69789;29.02.2016;105.31
69789;31.03.2016;111.33
69789;30.04.2016;113.65
69789;31.05.2016;113.34
69789;30.06.2016;112.64
69789;31.07.2016;114.1
69789;31.08.2016;116.6
69789;30.09.2016;119.07
69789;31.10.2016;117.4
69789;30.11.2016;120.76
69789;31.12.2016;130.35
69789;31.01.2017;131.14
69789;28.02.2017;127.63
69789;31.03.2017;120.26
69789;30.04.2017;117.6
69789;31.05.2017;117.47
69789;30.06.2017;110.72
69789;31.07.2017;114.83
69789;31.08.2017;116.64
69789;30.09.2017;121.53
69789;31.10.2017;123.46
69789;30.11.2017;126.83
69789;31.12.2017;125.76
69789;31.01.2018;133.5
69789;28.02.2018;135.19
69789;31.03.2018;135.81
69789;30.04.2018;132.59
69789;31.05.2018;137.29
69789;30.06.2018;134.59
69789;31.07.2018;137.21
69789;31.08.2018;136.31
69789;30.09.2018;141.41
69789;31.10.2018;141.73
69789;30.11.2018;141.2
69789;31.12.2018;140.84
69789;31.01.2019;145.18
69789;28.02.2019;148.33