#Название: Объем вкладов (депозитов) и прочих привлеченных средств физических лиц, Россия
#Частотность: Ежемесячные
#Дата последнего (предшествующего) обновления в первоисточнике: 15 июня 2024 г.
#Единицы измерения: млрд. рублей, рублей
#https://data.vavt.ru/ru/analytiс_sets/dataset/62289/chart
#Источник: https://rosstat.gov.ru/compendium/document/50802
#
dataset;date;Объем вкладов (депозитов) и прочих привлеченных средств физических лиц, Россия: в учреждениях ПАО Сбербанк (по данным ПАО Сбербанк)
62289;31.01.1999;153.3
62289;28.02.1999;160.9
62289;31.03.1999;169.1
62289;30.04.1999;173.7
62289;31.05.1999;180.1
62289;30.06.1999;187.2
62289;31.07.1999;195.1
62289;31.08.1999;201.1
62289;30.09.1999;204.9
62289;31.10.1999;208.6
62289;30.11.1999;215.1
62289;31.12.1999;222
62289;31.01.2000;232.8
62289;29.02.2000;242.6
62289;31.03.2000;253
62289;30.04.2000;261.3
62289;31.05.2000;271.8
62289;30.06.2000;282.2
62289;31.07.2000;293.3
62289;31.08.2000;302.7
62289;30.09.2000;309.5
62289;31.10.2000;316.5
62289;30.11.2000;322.8
62289;31.12.2000;335.8
62289;31.01.2001;347.1
62289;28.02.2001;356.4
62289;31.03.2001;368.4
62289;30.04.2001;379.9
62289;31.05.2001;393.1
62289;30.06.2001;405.6
62289;31.07.2001;418.1
62289;31.08.2001;431.2
62289;30.09.2001;442
62289;31.10.2001;453.8
62289;30.11.2001;466.6
62289;31.12.2001;480.7
62289;31.01.2002;501.4
62289;28.02.2002;517.7
62289;31.03.2002;535.7
62289;30.04.2002;550.1
62289;31.05.2002;574.7
62289;30.06.2002;586.6
62289;31.07.2002;606.7
62289;31.08.2002;625.1
62289;30.09.2002;640.6
62289;31.10.2002;655.7
62289;30.11.2002;670.1
62289;31.12.2002;687.2
62289;31.01.2003;693
62289;28.02.2003;725.3
62289;31.03.2003;744.6
62289;30.04.2003;761.8
62289;31.05.2003;782.6
62289;30.06.2003;799.8
62289;31.07.2003;820.5
62289;31.08.2003;845.2
62289;30.09.2003;864.5
62289;31.10.2003;881.9
62289;30.11.2003;894.9
62289;31.12.2003;918.7
62289;31.01.2004;957.9
62289;29.02.2004;979.5
62289;31.03.2004;1007.5
62289;30.04.2004;1026.6
62289;31.05.2004;1051.9
62289;30.06.2004;1066.1
62289;31.07.2004;1086.7
62289;31.08.2004;1095.2
62289;30.09.2004;1107.9
62289;31.10.2004;1123.1
62289;30.11.2004;1133.5
62289;31.12.2004;1149.5
62289;31.01.2005;1185.1
62289;28.02.2005;1190.1
62289;31.03.2005;1213.1
62289;30.04.2005;1238.7
62289;31.05.2005;1264.1
62289;30.06.2005;1285.8
62289;31.07.2005;1315
62289;31.08.2005;1340.4
62289;30.09.2005;1350.1
62289;31.10.2005;1371.2
62289;30.11.2005;1390.9
62289;31.12.2005;1419.5
62289;31.01.2006;1500.1
62289;28.02.2006;1495.3
62289;31.03.2006;1538.6
62289;30.04.2006;1574.8
62289;31.05.2006;1610.3
62289;30.06.2006;1644.6
62289;31.07.2006;1700.7
62289;31.08.2006;1740.2
62289;30.09.2006;1768.8
62289;31.10.2006;1813
62289;30.11.2006;1848.9
62289;31.12.2006;1899.5
62289;31.01.2007;2028.6
62289;28.02.2007;2028.8
62289;31.03.2007;2101.8
62289;30.04.2007;2147.7
62289;31.05.2007;2203.8
62289;30.06.2007;2246.6
62289;31.07.2007;2311.1
62289;31.08.2007;2357.5
62289;30.09.2007;2395.8
62289;31.10.2007;2435
62289;30.11.2007;2465.4
62289;31.12.2007;2516.7
62289;31.01.2008;2656.5
62289;29.02.2008;2639.3
62289;31.03.2008;2691.3
62289;30.04.2008;2746
62289;31.05.2008;2805.3
62289;30.06.2008;2839.2
62289;31.07.2008;2915
62289;31.08.2008;2945.9
62289;30.09.2008;2987.5
62289;31.10.2008;3003.1
62289;30.11.2008;2908
62289;31.12.2008;2921.3
62289;31.01.2009;3063.6
62289;28.02.2009;3076.8
62289;31.03.2009;3113.2
62289;30.04.2009;3121.7
62289;31.05.2009;3169.7
62289;30.06.2009;3191.4
62289;31.07.2009;3268.7
62289;31.08.2009;3312
62289;30.09.2009;3329.9
62289;31.10.2009;3350.5
62289;30.11.2009;3389.4
62289;31.12.2009;3466.5
62289;31.01.2010;3701.1
62289;28.02.2010;3658.5
62289;31.03.2010;3745.8
62289;30.04.2010;3802.1
62289;31.05.2010;3901.3
62289;30.06.2010;3969.6
62289;31.07.2010;4075.9
62289;31.08.2010;4143.9
62289;30.09.2010;4184.9
62289;31.10.2010;4240.5
62289;30.11.2010;4320.3
62289;31.12.2010;4410.7
62289;31.01.2011;4702.1
62289;28.02.2011;4600.4
62289;31.03.2011;4703.9
62289;30.04.2011;4733.6
62289;31.05.2011;4828.7
62289;30.06.2011;4832.1
62289;31.07.2011;4949.9
62289;31.08.2011;4978.3
62289;30.09.2011;4998.6
62289;31.10.2011;5063.7
62289;30.11.2011;5059.4
62289;31.12.2011;5130.2
62289;31.01.2012;5532.2
62289;29.02.2012;5391.8
62289;31.03.2012;5483.9
62289;30.04.2012;5541.9
62289;31.05.2012;5674.5
62289;30.06.2012;5744.3
62289;31.07.2012;5911.2
62289;31.08.2012;5900.7
62289;30.09.2012;5969.7
62289;31.10.2012;5958.9
62289;30.11.2012;5984.2
62289;31.12.2012;6103.7
62289;31.01.2013;6510.3
62289;28.02.2013;6348.1
62289;31.03.2013;6497.7
62289;30.04.2013;6631.9
62289;31.05.2013;6865.6
62289;30.06.2013;6808.8
62289;31.07.2013;6981.9
62289;31.08.2013;7026.6
62289;30.09.2013;7047.4
62289;31.10.2013;7067.3
62289;30.11.2013;7116
62289;31.12.2013;7261.9
62289;31.01.2014;7915.9
62289;28.02.2014;7580.5
62289;31.03.2014;7707.3
62289;30.04.2014;7642.4
62289;31.05.2014;7819.4
62289;30.06.2014;7747.2
62289;31.07.2014;7824.6
62289;31.08.2014;7872.7
62289;30.09.2014;7946.3
62289;31.10.2014;7917.9
62289;30.11.2014;8032.7
62289;31.12.2014;8159.1
62289;31.01.2015;8347.3
62289;28.02.2015;8411.9
62289;31.03.2015;8391.5
62289;30.04.2015;8446.9
62289;31.05.2015;8622.7
62289;30.06.2015;8743.4
62289;31.07.2015;8936.4
62289;31.08.2015;9206.9
62289;30.09.2015;9462.6
62289;31.10.2015;9568
62289;30.11.2015;9605.8
62289;31.12.2015;9770.5
62289;31.01.2016;10673.5
62289;29.02.2016;10340.2
62289;31.03.2016;10478.5
62289;30.04.2016;10309.9
62289;31.05.2016;10442.6
62289;30.06.2016;10566.3
62289;31.07.2016;10674.5
62289;31.08.2016;10819.5
62289;30.09.2016;10800.3
62289;31.10.2016;10811.7
62289;30.11.2016;10909.8
62289;31.12.2016;11025.9
62289;31.01.2017;11372.2
62289;28.02.2017;11278.6
62289;31.03.2017;11327.2
62289;30.04.2017;11265.3
62289;31.05.2017;11349.2
62289;30.06.2017;11305.2
62289;31.07.2017;11535.2
62289;31.08.2017;11560.1
62289;30.09.2017;11527.6
62289;31.10.2017;11475.5
62289;30.11.2017;11436
62289;31.12.2017;11511.1
62289;31.01.2018;12069.5
62289;28.02.2018;11674.9
62289;31.03.2018;11879.4
62289;30.04.2018;11900.9
62289;31.05.2018;12223.7
62289;30.06.2018;12163.8
62289;31.07.2018;12298.8
62289;31.08.2018;12278.3
62289;30.09.2018;12313.7
62289;31.10.2018;12090
62289;30.11.2018;12318.6
62289;31.12.2018;12285.5
62289;31.01.2019;12941.5
62289;28.02.2019;12373.1
62289;31.03.2019;12645.8
62289;30.04.2019;12651.180084588972
62289;31.05.2019;13010.5
62289;30.06.2019;12905.9
62289;31.07.2019;12980.7
62289;31.08.2019;12923.3
62289;30.09.2019;12976.9
62289;31.10.2019;12959.3
62289;30.11.2019;12879.9
62289;31.12.2019;12904
62289;31.01.2020;13471.4
62289;29.02.2020;13114.5
62289;31.03.2020;13377.1
62289;30.04.2020;13807.3
62289;31.05.2020;14032.5
62289;30.06.2020;13843.3
62289;31.07.2020;14252.2
62289;31.08.2020;14410.7
62289;30.09.2020;14498
62289;31.10.2020;14752.5
62289;30.11.2020;14678.6
62289;31.12.2020;14742.4
62289;31.01.2021;15610.8
62289;28.02.2021;15168.1
62289;31.03.2021;15273.2
62289;30.04.2021;15386.4
62289;31.05.2021;16023.3
62289;30.06.2021;15778.9
62289;31.07.2021;15851.8
62289;31.08.2021;15954.3
62289;30.09.2021;16044.7
62289;31.10.2021;14886.5
62289;30.11.2021;14803
62289;31.12.2021;14893
62289;31.01.2022;15494.3
62289;28.02.2022;14965.6
62289;31.03.2022;14470.7
62289;30.04.2022;14512.8
62289;31.05.2022;14651.4
62289;30.06.2022;14427.1
62289;31.07.2022;14290.1
62289;31.08.2022;14568.1
62289;30.09.2022;14537.9
62289;31.10.2022;14426.9
62289;30.11.2022;14470.4
62289;31.12.2022;14536.9
62289;31.01.2023;16126.4
62289;28.02.2023;15325.6
62289;31.03.2023;15851.6
62289;30.04.2023;16103.7
62289;31.05.2023;16466.8
62289;30.06.2023;16772.3
62289;31.07.2023;17437.1
62289;31.08.2023;17720.9
62289;30.09.2023;17912.9
62289;31.10.2023;18083.3
62289;30.11.2023;18207
62289;31.12.2023;18195
62289;31.01.2024;19483.6
62289;29.02.2024;19093.9
62289;31.03.2024;19734.6
62289;30.04.2024;20079.4